CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,LAT,LONG
40528297,VIA ITALIA RISTORANTE,MANHATTAN,45,WEST   46 STREET,10036,2123986866,Italian,11/20/2014,Violations were cited in the following area(s).,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,33,C,40.7569538,-73.9807204
50009222,QUEEN BAKERY,MANHATTAN,150,MOTT ST,10013,2129668998,Chinese,5/23/2014,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,16,B,40.7192886,-73.9962453
50005183,COCO & CRU/SWEETWATER SOCIAL,MANHATTAN,643,BROADWAY,10012,2122530477,American,11/23/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,35,,40.7267223,-73.9960182
50004906,MIANSAI,MANHATTAN,33,CROSBY ST,10013,2128589710,CafÃ©/Coffee/Tea,7/13/2016,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Critical,25,,40.7208083,-73.9992975
41409219,JACOB SOUL FOOD RESTAURANT,MANHATTAN,373,LENOX AVENUE,10027,2128663663,Soul Food,8/25/2014,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,16,,40.8101922,-73.9438017
41542821,HARNEY & SONS TEA,MANHATTAN,433,BROOME STREET,10013,2129334853,CafÃ©/Coffee/Tea,5/15/2014,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,17,,40.7213388,-73.9994719
41082707,SUGAR CAFE,MANHATTAN,200,ALLEN STREET,10002,2122601122,American,6/10/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,13,A,40.7224475,-73.9885026
40527001,ISLAND BURGERS AND SHAKES,MANHATTAN,766,NINTH AVENUE,10019,2123077934,Hamburgers,3/25/2015,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11,,40.7642211,-73.9880461
41505301,SOCIETY BILLARDS AND BAR,MANHATTAN,10,EAST   21 STREET,10010,2124201000,American,5/14/2014,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,40.7398848,-73.9900818
40935975,COSI,MANHATTAN,700,6 AVENUE,10010,2126450223,Sandwiches,7/14/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,20,,40.7424643,-73.9931167
50034858,WOOPS! BAKESHOP,MANHATTAN,1143,2ND AVE,10065,2127584070,Bakery,5/12/2015,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,54,,40.7614658,-73.964057
41196158,ELEVEN B,MANHATTAN,174,AVENUE B,10009,2123889811,Pizza,3/21/2014,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,21,,40.7274489,-73.9797462
50018611,BLUESTONE LANE,MANHATTAN,770,BROADWAY,10003,2124771626,CafÃ©/Coffee/Tea,3/25/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,11,A,40.7306008,-73.9915217
